name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Mikechinos,https://www.nairaland.com/mikechinos,anambra ,"June 25, 2013",10:56pm,Don't give up on your dreams keep sleeping,m,,8 months & 20 days,455,54
wis3,https://www.nairaland.com/wis3,home.,"November 02, 2018",11:03pm,,m,,23 days & 2 hours,822,13
RedChiefPriest,https://www.nairaland.com/redchiefpriest,"South wakanda, wanna come? Bring lots of palmwine with kolanuts. ","December 19, 2020",10:06pm,I only believe in jesus ,,,19 days & 4 hours,808,8
Tokskob2008,https://www.nairaland.com/tokskob2008,Somewhere around the world.,"February 24, 2021",6:46pm,I only reply mentions when I'm bored and depressed....,,,1 month & 21 days,1343,6
Channah1,https://www.nairaland.com/channah1,Sitted in Christ Jesus in heavenly places,"April 29, 2022",10:16pm,God's favor is upon me,f,,13 days & 21 hours,1363,50
Treasure17,https://www.nairaland.com/treasure17,Lagos,"February 14, 2017",6:52pm,All I see is GRACE. ,m,,3 months & 12 days,5272,21
nifemi25,https://www.nairaland.com/nifemi25,lagos 08065805412,"November 30, 2012",7:31pm,Ask me anything aπϑ am gonna answer,m,#ayandejinifemi,2 months & 8 days,3197,46
Burruchaga71,https://www.nairaland.com/burruchaga71,,"April 30, 2016",10:45pm,,m,,2 months & 24 days,2217,6
WibusJaga,https://www.nairaland.com/wibusjaga,,"June 21, 2020",10:51pm,,,,3 months & 14 days,4531,4
Haroldjunior,https://www.nairaland.com/haroldjunior,,"March 16, 2020",9:22pm,,,,10 days & 16 hours,850,47
fanaticf,https://www.nairaland.com/fanaticf,,"October 02, 2020","3:32pm On Dec 04, 2020",THE PERFECT INPREFECTION,,,1 day & 15 hours,67,4
Namdeenero,https://www.nairaland.com/namdeenero,Freetown ,"July 27, 2014",1:07am On Jul 28,Work hard for your cents and watch them grow into dollars,m,,4 months & 19 days,2034,39
