name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
tosinpaulloo,https://www.nairaland.com/tosinpaulloo,,,,,,,,,0
Onoja3,https://www.nairaland.com/onoja3,,,,,,,,,0
smithsammy,https://www.nairaland.com/smithsammy,,,,,,,,,0
rapmike,https://www.nairaland.com/rapmike,,,,,,,,,0
BennyWrites,https://www.nairaland.com/bennywrites,,,,,,,,,0
forzarush,https://www.nairaland.com/forzarush,,,,,,,,,0
princesa,https://www.nairaland.com/princesa,,,,,,,,,0
Talius,https://www.nairaland.com/talius,,,,,,,,,0
Kindoo,https://www.nairaland.com/kindoo,,,,,,,,,0
StankovicEgeni,https://www.nairaland.com/stankovicegeni,,,,,,,,,0
pabon,https://www.nairaland.com/pabon,,,,,,,,,0
powerlays,https://www.nairaland.com/powerlays,,,,,,,,,0
ToyinOlorunsola,https://www.nairaland.com/toyinolorunsola,,,,,,,,,0
toys2seven,https://www.nairaland.com/toys2seven,,,,,,,,,0
inkstarpage,https://www.nairaland.com/inkstarpage,,,,,,,,,0
Seemeee,https://www.nairaland.com/seemeee,,,,,,,,,0
TushElla,https://www.nairaland.com/tushella,,,,,,,,,0
Femiblack05,https://www.nairaland.com/femiblack05,,,,,,,,,0
Harmonypublish,https://www.nairaland.com/harmonypublish,,,,,,,,,0
segunolanibi,https://www.nairaland.com/segunolanibi,,,,,,,,,0
Eze2000,https://www.nairaland.com/eze2000,,,,,,,,,0
IamPlato,https://www.nairaland.com/iamplato,,,,,,,,,0
tyty321,https://www.nairaland.com/tyty321,,,,,,,,,0
breme,https://www.nairaland.com/breme,,,,,,,,,0
LightPossible,https://www.nairaland.com/lightpossible,,,,,,,,,0
styless,https://www.nairaland.com/styless,,,,,,,,,0
predon004,https://www.nairaland.com/predon004,,,,,,,,,0
coolape,https://www.nairaland.com/coolape,,,,,,,,,0
muhammadzauro,https://www.nairaland.com/muhammadzauro,,,,,,,,,0
Major001,https://www.nairaland.com/major001,,,,,,,,,0
BIGGIE121,https://www.nairaland.com/biggie121,,,,,,,,,0
PierreAbutu,https://www.nairaland.com/pierreabutu,,,,,,,,,0
Lleigh,https://www.nairaland.com/lleigh,,,,,,,,,0
azeezat22,https://www.nairaland.com/azeezat22,,,,,,,,,0
Sophia333,https://www.nairaland.com/sophia333,,,,,,,,,0
guyla,https://www.nairaland.com/guyla,,,,,,,,,0
TamiOkoroDedeh,https://www.nairaland.com/tamiokorodedeh,,,,,,,,,0
Optional12345,https://www.nairaland.com/optional12345,,,,,,,,,0
Simiwords,https://www.nairaland.com/simiwords,,,,,,,,,0
Taniaa,https://www.nairaland.com/taniaa,,,,,,,,,0
JoeKing001,https://www.nairaland.com/joeking001,,,,,,,,,0
pearlspeaks,https://www.nairaland.com/pearlspeaks,,,,,,,,,0
ahshop,https://www.nairaland.com/ahshop,,,,,,,,,0
useli247,https://www.nairaland.com/useli247,,,,,,,,,0
Debbietiyan,https://www.nairaland.com/debbietiyan,,,,,,,,,0
dominique,https://www.nairaland.com/dominique,,,,,,,,,0
1sundaya,https://www.nairaland.com/1sundaya,,,,,,,,,0
giaancona11,https://www.nairaland.com/giaancona11,,,,,,,,,0
