name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Ennyholar,https://www.nairaland.com/ennyholar,,"May 23, 2017",7:38am On Jul 19,,,@Ennyholar,12 days & 8 hours,1842,131
scarycuteface,https://www.nairaland.com/scarycuteface,,"September 21, 2016",10:06pm On Jul 24,I just want to educate and be educated,m,,11 days & 4 hours,2525,30
Freelancerx,https://www.nairaland.com/freelancerx,,"September 21, 2016",10:02pm On Jul 24,,,,11 days & 22 hours,2796,30
Mathewa,https://www.nairaland.com/mathewa,saki,"July 16, 2011",12:04am,no one knows my struggle they only see the trouble,m,,3 months & 8 days,256,2
damsel14,https://www.nairaland.com/damsel14,Earth,"August 16, 2016","3:30am On Oct 11, 2019",Unique ,f,,6 days & 15 hours,189,13
elimighty,https://www.nairaland.com/elimighty,Nigeria,"July 02, 2018","6:19pm On Nov 20, 2021",#I live for the king,m,,5 days & 9 hours,31,0
investigator007,https://www.nairaland.com/investigator007,,"December 15, 2015",8:52pm On Jul 15,,,,15 days & 1 hour,2314,41
ThatKING,https://www.nairaland.com/thatking,14 gold Harbour... ,"April 30, 2017",7:00am On Jun 03,You will always win... Verified,m,Verified,23 days & 5 hours,957,28
Ukalejohn,https://www.nairaland.com/ukalejohn,Lagos,"September 20, 2013",4:03am On Jul 21,Graced ,m,@Akposukale,19 days & 8 hours,392,13
Olodo24,https://www.nairaland.com/olodo24,Port Harcourt ,"July 19, 2018",1:42pm On May 14,I never stay in my lane because the most successful individuals are the risk takers. ,,,2 months & 10 days,3571,11
tafat,https://www.nairaland.com/tafat,,"August 25, 2016",12:14pm On Jul 18,,,,8 days & 6 hours,3042,32
may320,https://www.nairaland.com/may320,,"July 09, 2018",6:54pm On Jul 17,,,,8 days & 17 hours,327,0
CharlesJok3r,https://www.nairaland.com/charlesjok3r,In a Co-Location ,"January 01, 2018",6:12am,Be Kind,,,2 months & 21 days,1623,9
Yourenemy,https://www.nairaland.com/yourenemy,North Carolina ,"November 23, 2018","7:35pm On Dec 26, 2018",,m,,1 day & 7 hours,70,6
omoalajah,https://www.nairaland.com/omoalajah,Lagos,"August 05, 2013",9:18pm On Jul 24,,m,@omoalajah,24 days,2068,156
datyorubaboy,https://www.nairaland.com/datyorubaboy,,"September 05, 2016","7:59pm On Feb 03, 2019",,,,2 days & 11 hours,1058,2
missslimzy,https://www.nairaland.com/missslimzy,,"August 24, 2016","7:43pm On Feb 03, 2019",Life is Beautiful,f,,2 days,1031,0
Itsky,https://www.nairaland.com/itsky,,"May 30, 2018","8:35am On Aug 04, 2020",,,,10 days & 9 hours,43,3
Hahjascho,https://www.nairaland.com/hahjascho,LAGOS,"November 14, 2014",5:16am,,m,,1 month & 10 days,1448,44
Ndissle,https://www.nairaland.com/ndissle,IKEJA,"December 05, 2013",1:43pm On Jul 16,,m,,9 days & 17 hours,1389,45
Creg7,https://www.nairaland.com/creg7,,"February 15, 2018","7:21pm On Feb 08, 2020",,,,16 hours & 55 minutes,139,5
Blastedholligan,https://www.nairaland.com/blastedholligan,,"January 04, 2019",7:52pm On Jul 14,,,,6 days & 15 hours,1831,34
Goldyyy,https://www.nairaland.com/goldyyy,,"June 22, 2018","11:00am On Jan 08, 2020",,,,1 day & 13 hours,455,14
Iceman296,https://www.nairaland.com/iceman296,,"February 26, 2013",4:09pm On Jul 22,I'm a Focused and God Fearing Intellect.,,,2 months & 2 days,875,22
psoul12,https://www.nairaland.com/psoul12,,"April 21, 2018","7:54pm On May 11, 2020",,,,15 hours & 22 minutes,151,13
Dembali,https://www.nairaland.com/dembali,,"April 24, 2016",9:28pm On Jul 24,,,,1 day & 3 hours,51,8
nnaomaog,https://www.nairaland.com/nnaomaog,,"November 14, 2014","4:56pm On Jul 19, 2020",,m,,6 days & 7 hours,311,27
Rubiesangel,https://www.nairaland.com/rubiesangel,,"February 12, 2018","2:13am On Nov 29, 2021",,,,4 days & 7 hours,1126,41
Pekuliar,https://www.nairaland.com/pekuliar,,"June 06, 2018","12:28pm On Dec 05, 2019",,,,1 day,267,9
Yyvonne,https://www.nairaland.com/yyvonne,,"July 11, 2018",12:43pm On Feb 19,,,,1 day & 14 hours,557,11
BiqSean,https://www.nairaland.com/biqsean,,"January 10, 2018",6:03am,Tradinq my sleeps for slips #Billionaire_Ambition,m,,1 month & 15 days,236,2
sureinfo,https://www.nairaland.com/sureinfo,,"July 11, 2015",7:18am,,,,9 days & 7 hours,2620,49
Kogbaski,https://www.nairaland.com/kogbaski,,"September 20, 2016",1:48pm On Jun 21,,,,20 hours & 58 minutes,333,6
Ecstasy9,https://www.nairaland.com/ecstasy9,,"December 25, 2018","7:43am On May 30, 2019",Wait for it. ,m,,4 days & 12 hours,164,0
Realboygenius,https://www.nairaland.com/realboygenius,F,"June 02, 2017",9:59am,,m,,10 days & 21 hours,2171,90
Samson1851,https://www.nairaland.com/samson1851,,"February 02, 2018",7:12pm On Mar 03,,,,2 days & 20 hours,596,195
dadamonie150,https://www.nairaland.com/dadamonie150,Lagos,"June 10, 2017",6:34pm On Jul 24,,m,,8 days & 14 hours,133,1
adebowale351,https://www.nairaland.com/adebowale351,,"January 20, 2019","4:28pm On Aug 09, 2019",,,,9 hours & 53 minutes,79,7
saxby,https://www.nairaland.com/saxby,,"February 29, 2016",6:47am On Jul 21,Oh! Heaven I need a hug.... Hey not you. I mean HEAVEN,f,,8 days & 5 hours,2439,26
Pweetyteey,https://www.nairaland.com/pweetyteey,,"February 11, 2018","10:16pm On Nov 29, 2019",,,,16 hours & 55 minutes,75,28
Larrywizzy423,https://www.nairaland.com/larrywizzy423,,"May 08, 2018","3:40am On Sep 07, 2021",Having an open mind is the key to enlightenment,m,,11 days & 19 hours,47,5
Ejadike,https://www.nairaland.com/ejadike,,"April 28, 2017",4:57pm On May 08,Perseverance and Hardwork ,m,,22 days & 15 hours,3009,50
majorzod14,https://www.nairaland.com/majorzod14,,"May 20, 2016","1:54pm On Nov 21, 2019",,m,,4 hours & 35 minutes,1,0
devbojj,https://www.nairaland.com/devbojj,,"January 04, 2019","12:56pm On Oct 30, 2021",,,,18 hours & 6 minutes,160,31
Uchechiokpara39,https://www.nairaland.com/uchechiokpara39,,"April 25, 2019",12:36am On Jan 10,,,,10 hours & 27 minutes,97,22
Chuksteric,https://www.nairaland.com/chuksteric,heaven ,"January 06, 2012",9:01am,OK now you're here... hit the like button ,m,chuksteric,2 months & 15 days,1218,18
Psoulsport,https://www.nairaland.com/psoulsport,"Lagos, Abia, Enugu","February 15, 2018","6:50pm On Apr 12, 2021",Sport Channel,m,@psoulsport,1 day & 3 hours,224,27
Jimgym,https://www.nairaland.com/jimgym,,"February 14, 2019","2:00am On Nov 15, 2021",,m,,14 hours & 37 minutes,166,5
jom28gy,https://www.nairaland.com/jom28gy,,"September 28, 2014",2:59pm On Jul 18,,m,Ericmantics,24 days & 3 hours,4028,126
xprez,https://www.nairaland.com/xprez,Ibadan,"January 05, 2019",2:14pm On Jul 25,believe you can make it and pray to God,m,Iamxprez_,12 days & 18 hours,107,13
shiftback,https://www.nairaland.com/shiftback,,"September 22, 2014",10:09pm On Jul 07,,,,22 days & 7 hours,1162,39
onecornerboy,https://www.nairaland.com/onecornerboy,Kaduna south,"December 15, 2017",6:57pm On Jul 24,,m,,1 month & 8 days,503,7
Techm8,https://www.nairaland.com/techm8,,"September 30, 2016",2:21pm On Jul 25,,,,7 days & 14 hours,878,29
