name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Metrix147,https://www.nairaland.com/metrix147,,"November 02, 2016",2:34pm,,,,22 days & 17 hours,1163,1076
Kpilo101,https://www.nairaland.com/kpilo101,Bonny Island,"October 02, 2017",3:13pm,,,,2 months,270,1
kristonium,https://www.nairaland.com/kristonium,Lagos,"October 30, 2009",10:26pm,A star is bound to shine!the density of the surrounding opacity is immaterial;the intensity of the darkness in the vincinity is irrelevant!its the destiny of a star to shine and it must shine!,m,@ebhomachristian,3 months & 29 days,1447,290
iammarvellux,https://www.nairaland.com/iammarvellux,LAGOS ,"January 23, 2018",10:50pm,"We sell Genuine Affordable Properties, Am Emenike. Your peace of mind is 100% ASSURED when You buy frm us. ",m,,1 month & 11 days,5545,71
Yungmil,https://www.nairaland.com/yungmil,,"November 01, 2017",9:26pm,,,,1 month & 5 days,775,97
kernniejay,https://www.nairaland.com/kernniejay,Planet Earth,"July 27, 2016",8:19pm,If God be for me…,m,,1 month & 18 days,1862,10
shagasha,https://www.nairaland.com/shagasha,,"February 21, 2015",11:25am,,,,28 days,547,1
adecz,https://www.nairaland.com/adecz,Nigeria,"October 18, 2014",9:36pm,It's now or never!!,,,2 months & 29 days,9444,125
Coolbreeze1988,https://www.nairaland.com/coolbreeze1988,Maiduguri ,"January 19, 2017",8:55pm,,m,,20 days & 13 hours,413,0
Almaigaa,https://www.nairaland.com/almaigaa,,"August 23, 2018",7:19am,,,,28 days & 22 hours,2775,14
paulolee,https://www.nairaland.com/paulolee,,"January 02, 2014",8:05pm,"young kings the game is still on, secure d bag..",m,,3 months & 8 days,18791,1
KingMack,https://www.nairaland.com/kingmack,Port-Hacourt,"April 13, 2020",5:26pm,,m,,21 days & 18 hours,1688,12
tnerro1,https://www.nairaland.com/tnerro1,In your area,"May 26, 2020",10:21pm,"He who feeds you, controls you",m,Jack?,1 month & 25 days,5348,43
floss,https://www.nairaland.com/floss,"Dallas Ranch Texas, USA","December 10, 2014",10:49pm,,m,,29 days & 5 hours,1439,21
Ange01,https://www.nairaland.com/ange01,,"July 27, 2022",2:23pm,,f,,2 hours & 54 minutes,5,0
Vifx,https://www.nairaland.com/vifx,,"January 12, 2017",2:50pm,"Software engineer, Writer",,Twitter.com/thevifx,2 days & 6 hours,180,5
Peacemaker5128,https://www.nairaland.com/peacemaker5128,,"June 23, 2018",2:25pm,,,,19 days & 5 hours,999,15
ephraim18,https://www.nairaland.com/ephraim18,,"July 22, 2015",8:01pm,be the first to know and tell others,m,,2 months & 11 days,544,3
Coronavirus84,https://www.nairaland.com/coronavirus84,,"March 31, 2020",9:10pm,,,,1 month & 17 days,1108,0
GboyegaD,https://www.nairaland.com/gboyegad,Lasgidi,"April 13, 2008",10:31pm,,m,,5 months & 18 days,14856,13
SmartPolician,https://www.nairaland.com/smartpolician,,"November 23, 2017",10:01pm,,,,7 months & 16 days,9837,7
HisGraceBet,https://www.nairaland.com/hisgracebet,,"July 02, 2022",4:59pm,,,,1 hour & 25 minutes,11,0
Ohislee,https://www.nairaland.com/ohislee,My home,"April 29, 2012",8:05pm,www.bootera.com,m,,3 months & 13 days,217,16
Ladiesdoctor,https://www.nairaland.com/ladiesdoctor,South East North West,"January 17, 2019",8:02pm,,m,,1 month & 4 days,1692,36
5iine,https://www.nairaland.com/5iine,,"June 03, 2021",10:51pm,,,,8 days & 3 hours,133,0
Lanre4uonly,https://www.nairaland.com/lanre4uonly,,"April 27, 2015",6:54pm,,m,,5 months & 9 days,8177,9
Soulsymbol99,https://www.nairaland.com/soulsymbol99,,"July 20, 2016",9:47pm,,,,3 months & 21 days,2646,20
tillaman,https://www.nairaland.com/tillaman,Himalayas,"April 01, 2016",9:29pm,Quoth the raven Nevermore!!,m,,5 months & 23 days,12065,20
toyinjimoh,https://www.nairaland.com/toyinjimoh,Abuja,"September 27, 2013",9:16pm,simple and humble,m,@jimohtoyin,1 month & 9 days,1353,1
havenz,https://www.nairaland.com/havenz,Makurdi,"August 29, 2017",8:18pm,,m,,23 days & 3 hours,525,0
Chiedu4Trump,https://www.nairaland.com/chiedu4trump,,"November 09, 2016",10:29pm,,,,28 days & 23 hours,1918,46
muykem,https://www.nairaland.com/muykem,,"January 27, 2016",9:35pm,,,,4 months & 1 day,6308,199
ignis,https://www.nairaland.com/ignis,Unknown ,"July 03, 2010",9:18pm,,,,4 months & 3 days,16415,94
Berankis,https://www.nairaland.com/berankis,,"May 06, 2018",9:04pm,,,,1 month & 9 days,623,2
SugarGirl44,https://www.nairaland.com/sugargirl44,,"January 13, 2022",10:41pm,,,,14 days & 4 hours,1160,1
naijapikin2,https://www.nairaland.com/naijapikin2,NIGERIA,"September 08, 2018",10:28pm,JESUS REIGNS,m,,14 days & 21 hours,656,0
