name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
richmond500,https://www.nairaland.com/richmond500,,"November 06, 2020",8:53pm On Jul 25,Ok,,,1 month & 28 days,6315,79
iamwilliamsfx,https://www.nairaland.com/iamwilliamsfx,,"June 13, 2022",1:34am,"""Success aint final; failure aint fatal: Its the courage to continue that counts.'' ...",m,iamwilliamsfx,3 days & 15 hours,406,64
God1000,https://www.nairaland.com/god1000,Igedeland,"September 20, 2017",6:41pm On Jul 25,I'm your future president,m,,1 month & 25 days,6927,404
Cypress042,https://www.nairaland.com/cypress042,Mail me,"June 03, 2022",10:44pm On Jul 25,"If you enjoy Trolling you' re my fave. Feel free to quote me, i ain't toxic.   ",m,,14 days & 19 hours,2452,5
boocheey,https://www.nairaland.com/boocheey,,"January 09, 2014",12:01am,,,,12 days & 19 hours,33,0
Neimar,https://www.nairaland.com/neimar,,"September 17, 2016",10:39pm On Jul 25,,,,7 months & 23 days,8620,11
MITCHELL96,https://www.nairaland.com/mitchell96,,"June 11, 2021",10:32pm On Jul 25,Eu Sorrio Para Te Agraceder Deus Por Tudo ,,,19 days & 13 hours,1805,4
Stiff66,https://www.nairaland.com/stiff66,,"July 16, 2022",9:54pm On Jul 25,,,,14 hours & 2 minutes,10,0
specialmati,https://www.nairaland.com/specialmati,lagos,"July 26, 2012",12:25am,show me some love,m,,4 months & 1 day,2933,1
Skyfornia,https://www.nairaland.com/skyfornia,Nigeria,"July 19, 2011",10:08pm On Jul 25,A wealthy man is not someone who have the most but someone who needs the least.,m,,4 months & 27 days,8051,986
StrikeBack,https://www.nairaland.com/strikeback,Ikeja,"December 15, 2018",12:12am,Only the dead have seen the end of war,m,,4 months,3890,3
tesppidd,https://www.nairaland.com/tesppidd,,"June 06, 2017",8:57pm On Jul 25,,,,3 months & 16 days,10293,0
advocatejare,https://www.nairaland.com/advocatejare,,"September 15, 2019",10:26pm On Jul 25,,m,,22 days & 11 hours,3271,99
paulolee,https://www.nairaland.com/paulolee,,"January 02, 2014",11:26pm On Jul 25,"young kings the game is still on, secure d bag..",m,,3 months & 8 days,18777,1
Winters23,https://www.nairaland.com/winters23,,"August 03, 2021",1:33am,,,,21 days & 17 hours,1189,3
JoeRizzla,https://www.nairaland.com/joerizzla,,"September 15, 2021",5:20pm On Jul 25,,,,5 days & 19 hours,180,0
pyyxxaro,https://www.nairaland.com/pyyxxaro,,"June 07, 2012",12:36am,,,,7 months & 4 days,12804,1
McOluOmo,https://www.nairaland.com/mcoluomo,Lagos ,"June 04, 2021",3:40pm On Jul 25,Don't be stupid and foolish at the same time ,,Omo ale,1 month & 17 days,1896,0
Stegano,https://www.nairaland.com/stegano,,"March 13, 2021",7:20pm On Jul 25,,,,2 days & 9 hours,39,0
Samskid310,https://www.nairaland.com/samskid310,Toronto,"November 19, 2019",4:49pm On Jul 25,One naira e no gum me,m,,1 day & 10 hours,171,0
