name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Thebrightest,https://www.nairaland.com/thebrightest,"Agege, Lagos, Nigeria, West Africa, Africa, Earth, SolarSystem.","March 01, 2013",11:42pm On Jul 24,ALWAYS THE BRIGHTEST,m,Send me a mail.,1 month & 24 days,1441,22
crazysam001,https://www.nairaland.com/crazysam001,,"September 04, 2015",3:12pm On Jul 25,,,,28 days & 10 hours,309,2
JOELAGIDA36,https://www.nairaland.com/joelagida36,,"April 16, 2022",6:31pm On Jul 25,,,,23 hours & 17 minutes,2,0
Toneypen247,https://www.nairaland.com/toneypen247,,"June 02, 2022",9:22pm On Jul 25,Education is the ability to listen to almost anything without losing your temper or self-confidence.,m,,1 day & 21 hours,481,5
jubrilELsudan,https://www.nairaland.com/jubrilelsudan,,"December 14, 2018",11:06pm On Jul 25,,,,1 month & 2 days,1514,0
Jovialjune1,https://www.nairaland.com/jovialjune1,,"July 14, 2022",10:02pm On Jul 25,"He speaks, I listen :)",f,,2 days & 18 hours,132,0
EatforHealth,https://www.nairaland.com/eatforhealth,,"February 11, 2020",9:55am On Jul 25,,,,7 days & 11 hours,167,9
chigoziri2403,https://www.nairaland.com/chigoziri2403,Catalonia,"July 14, 2015",9:54pm On Jul 25,"SATTIRE , PARODY ",m,,2 months & 6 days,3402,46
CALEB1590,https://www.nairaland.com/caleb1590,,"June 10, 2021",8:32pm On Jul 25,,m,,1 month & 1 day,95,16
Seankhalifa,https://www.nairaland.com/seankhalifa,,"March 02, 2019",10:40pm On Jul 25,,,,1 month & 19 days,1309,1
Ibkhaleel,https://www.nairaland.com/ibkhaleel,,"June 26, 2021",11:42pm On Jul 25,,,,10 days & 8 hours,1169,1
Starhearts,https://www.nairaland.com/starhearts,"New York, USA","June 24, 2019",5:59am On Jul 25,One love Nigerian,,,1 month & 10 days,2006,1
Willie2015,https://www.nairaland.com/willie2015,,"March 22, 2015",12:35am,,,,8 months & 29 days,1854,0
ZUKKYY,https://www.nairaland.com/zukkyy,NIGERIA,"March 18, 2019",11:22pm On Jul 25," IN GOD I TRUST",m,,1 month & 28 days,210,0
phr33man,https://www.nairaland.com/phr33man,"cotonou, Benin Republic","June 26, 2013",11:40pm On Jul 25,His grace keeps me moving,m,,1 month & 23 days,485,39
SeriouslySense,https://www.nairaland.com/seriouslysense,,"August 30, 2018",1:01am,,m,,1 month & 29 days,5573,0
killmods,https://www.nairaland.com/killmods,,"October 10, 2019",11:37pm On Jul 25,Life is too short.. Do what u want with it while u still can,m,,1 month & 6 days,3039,18
Etimemy,https://www.nairaland.com/etimemy,,"May 14, 2021",8:19pm On Jul 25,,,,10 days & 19 hours,268,0
fxx2,https://www.nairaland.com/fxx2,kano - Nigeria,"January 24, 2013",1:05am,God is good,,,14 days & 11 hours,121,20
Lumig,https://www.nairaland.com/lumig,,"January 26, 2016",8:43pm On Jul 25,,,,2 months,1967,16
valnino,https://www.nairaland.com/valnino,coal city,"April 30, 2019",12:18pm On Jul 25,EXPECT LESS ,m,,20 days & 3 hours,54,9
Teerach,https://www.nairaland.com/teerach,,"July 03, 2019",5:30pm On Jul 25,,,,1 month & 7 days,460,0
elinaxy,https://www.nairaland.com/elinaxy,Abuja,"June 20, 2016",10:24pm On Jul 25,And light came to be. ,m,,6 days & 23 hours,137,1
Stanleyq,https://www.nairaland.com/stanleyq,Enugu,"June 21, 2020",4:32pm On Jul 25,Hates politic,f,,15 days & 19 hours,1165,0
ismodiwa,https://www.nairaland.com/ismodiwa,,"April 03, 2018",12:07am On Jul 25,Be the Chang you want to see in the world ,m,,11 days & 6 hours,470,0
archymacho,https://www.nairaland.com/archymacho,,"January 23, 2013",9:34pm On Jul 25,"Jesus is the way, the truth and life. No one come to the father except through the son.",m,,1 month & 1 day,1821,3
JoshB92,https://www.nairaland.com/joshb92,,"October 09, 2015",11:01pm On Jul 25,,,,14 days,137,0
phemmyfour,https://www.nairaland.com/phemmyfour,,"May 04, 2012",6:45pm On Jul 25,,,,2 months & 5 days,8856,4
1800bc,https://www.nairaland.com/1800bc,,"July 25, 2012",11:11am On Jul 24,I am who I am and proud of it.,f,,1 day & 14 hours,230,27
Opinedecandid,https://www.nairaland.com/opinedecandid,Uyo,"November 12, 2012",7:21pm On Jul 25,Completely Dependent on God,m,,2 months & 4 days,3361,84
naija4life247,https://www.nairaland.com/naija4life247,,"May 17, 2020",8:30pm On Jul 25,,,,22 days & 5 hours,5158,13
doneback04,https://www.nairaland.com/doneback04,,"November 15, 2020",8:11pm On Jul 25,,,,4 days & 7 hours,261,0
twosquare,https://www.nairaland.com/twosquare,Ọ̀sun,"May 11, 2013",11:10pm On Jul 25,"""The end of the cycle of the tree of life is immortality—being sealed eternally with the nature of God..""",m,,10 months & 12 days,3286,58
Kentuforchrist,https://www.nairaland.com/kentuforchrist,lagos,"February 25, 2019",11:16pm On Jul 25,positive vibes,m,hillary onyeka,1 month & 7 days,1301,1
Enny2013,https://www.nairaland.com/enny2013,Naija...,"January 11, 2018",11:32pm On Jul 25,Happily Married,f,,19 days & 5 hours,808,0
callmevirus,https://www.nairaland.com/callmevirus,South Africa ,"January 30, 2022",9:11pm On Jul 25,For the sake of the rose we must water the thorns ,m,,6 days & 14 hours,63,0
SoapQueen,https://www.nairaland.com/soapqueen,From Bissau to Palau,"April 12, 2018",11:16pm On Jul 25,Dog Mommy.,f,,1 month & 1 day,2393,23
delkuf,https://www.nairaland.com/delkuf,lagos,"May 26, 2012",10:59pm On Jul 24,I have a father and he is in heaven. He is always helping me,m,,1 month & 28 days,2326,44
Rick9,https://www.nairaland.com/rick9,Empire,"June 25, 2012",1:23am,"I love God, above all things.",m,,2 months & 16 days,5290,143
abfelicity91,https://www.nairaland.com/abfelicity91,,"August 26, 2020",6:45pm On Jul 25,,,,2 days & 8 hours,139,11
IbileIfe,https://www.nairaland.com/ibileife,,"June 17, 2009",9:11pm On Jul 25,,,,22 days & 18 hours,2549,180
VenumX,https://www.nairaland.com/venumx,,"May 24, 2020",12:28am,,,,7 days & 16 hours,687,0
Simao88,https://www.nairaland.com/simao88,,"April 21, 2020",9:57pm On Jul 25,,m,,10 days & 18 hours,23,0
dallyemmy,https://www.nairaland.com/dallyemmy,,"January 16, 2012",10:27pm On Jul 25,,,,5 months & 15 days,7460,3073
kingedet,https://www.nairaland.com/kingedet,akure,"June 15, 2015",3:30am On Jul 25,,m,,1 day & 3 hours,6,0
hily070,https://www.nairaland.com/hily070,,"March 15, 2017",12:51am,,,,4 days & 2 hours,42,0
UyaiIncomparabl,https://www.nairaland.com/uyaiincomparabl,Enjoyment-headquarters. ,"February 23, 2018",1:34am," Sapiosexual. Opinionated. Realist. Melancholic. Egalitarian. Foodie. Hobbyist-blogger. Writer. Skincare Enthusiast. Tech Enthusiast. ",f,@oneandonlyuyai. ,5 months & 26 days,8524,50
marlow1962,https://www.nairaland.com/marlow1962,,"September 15, 2018",9:09pm On Jul 25,"Look who visited, let's be friends.",m,Not a Twitter fan,16 days & 22 hours,364,0
HeavenVGate,https://www.nairaland.com/heavenvgate,"Ketu, Lagos.","March 24, 2022",1:28am,Nothing happens until something moves ,,Nill,8 days & 21 hours,311,0
Panda7,https://www.nairaland.com/panda7,Ibom,"December 19, 2020",10:22pm On Jul 25,Christian and pdp,,,20 days & 2 hours,1233,0
spencekat,https://www.nairaland.com/spencekat,Ken Island,"March 20, 2015",12:37am,,m,kennyland,5 months & 21 days,3973,5
MufasaLion,https://www.nairaland.com/mufasalion,MARS and MOON,"February 09, 2021",10:09pm On Jul 25,Almost Six Miles Downrange From The Kennedy Space Center Already.,m,,2 months & 26 days,11921,0
Mcphylls,https://www.nairaland.com/mcphylls,Jos,"February 13, 2020",7:02pm On Jul 25,,m,@badung Michael,1 day & 8 hours,4,0
digitite,https://www.nairaland.com/digitite,,"June 01, 2012",11:12pm On Jul 25,"""Anyone who stops learning is old, whether at twenty or eighty. Anyone who keeps learning stays young. The greatest thing in life is to keep your mind young."" - Henry Ford",,,1 month & 2 days,1490,139
Ajay7411,https://www.nairaland.com/ajay7411,,"April 24, 2020",9:12pm On Jul 25,,,,3 days & 15 hours,106,2
beyondPen,https://www.nairaland.com/beyondpen,,"May 29, 2020",9:18pm On Jul 25,The slow walk of a tiger aint foolishness but strategy.,m,,9 days & 17 hours,143,0
4ward4,https://www.nairaland.com/4ward4,,"June 29, 2022",11:01pm On Jul 25,,,,1 day & 15 hours,82,0
camsyross,https://www.nairaland.com/camsyross,,"January 17, 2017",10:55pm On Jul 25,,,,3 days & 5 hours,41,1
Uchedizzy,https://www.nairaland.com/uchedizzy,Anambara,"December 14, 2021",12:32am,,f,,13 days & 11 hours,316,0
Imstrong2,https://www.nairaland.com/imstrong2,,"March 16, 2019",1:20am,,m,,2 months & 12 days,777,0
Simube99,https://www.nairaland.com/simube99,,"July 24, 2022",1:18pm On Jul 25,,,,11 minutes & 1 second,10,0
APOSTLECHUMA,https://www.nairaland.com/apostlechuma,,"June 02, 2016",6:41pm On Jul 25,,,,1 month & 11 days,1734,0
bagad,https://www.nairaland.com/bagad,,"July 05, 2022",12:19am,,,,16 hours & 21 minutes,52,0
Oracleamehdin,https://www.nairaland.com/oracleamehdin,United kingdom,"December 29, 2021",10:38pm On Jul 25,Grace swallow disgrace,m,,2 days & 2 hours,299,0
Emeka71,https://www.nairaland.com/emeka71,Nigeria,"June 24, 2007",3:07pm On Jul 24,Life is all about choice.,m,Emeka Anyasi,2 months & 2 days,6144,9
ValeeLove,https://www.nairaland.com/valeelove,,"November 02, 2019",7:27pm On Jul 25,Life is simple when you understand the principle,m,,10 days & 13 hours,592,7
Yankee101,https://www.nairaland.com/yankee101,,"December 31, 2016",6:22pm On Jul 25,,,,4 months & 3 days,15127,43
Osanoghodua1,https://www.nairaland.com/osanoghodua1,,"January 07, 2017",7:59pm On Jul 25,,,,22 days & 17 hours,729,6
MyAmericandream,https://www.nairaland.com/myamericandream,,"June 09, 2018",12:44am,,f,,26 days & 8 hours,616,0
Ppp1p,https://www.nairaland.com/ppp1p,,"May 28, 2022",6:34pm On Jul 25,,,,10 hours & 3 minutes,233,0
Yoighaman,https://www.nairaland.com/yoighaman,Global.,"October 06, 2009",10:58pm On Jul 25,Don't worry. Be happy.,m,,2 months & 8 days,3138,13
Fortune118005,https://www.nairaland.com/fortune118005,Nigeria,"April 22, 2020",6:18pm On Jul 25,Determination provokes the manifestation of your intentions.,m,,21 days & 5 hours,339,15
xproducer,https://www.nairaland.com/xproducer,,"April 22, 2011",2:51pm On Jul 25,,,,10 days & 10 hours,851,26
Cloud007,https://www.nairaland.com/cloud007,,"November 24, 2016",2:22pm On Jul 25,,,,1 month & 19 days,1020,13
judedwriter,https://www.nairaland.com/judedwriter," ","July 22, 2013",11:45am On Jul 25,,m,,3 months & 29 days,4246,122
iamL,https://www.nairaland.com/iaml,,"January 07, 2021",6:13pm On Jul 24,Slave for Jehovah,f,,8 days & 13 hours,957,3
FrauleinBlossom,https://www.nairaland.com/frauleinblossom,,"March 11, 2016",8:45pm On Jul 24,,f,,3 days & 3 hours,216,7
jafaru196,https://www.nairaland.com/jafaru196,,"May 13, 2017",8:29pm On Jul 25,,,,17 days & 9 hours,97,17
chipet67,https://www.nairaland.com/chipet67,On Top Of The World,"June 26, 2010",8:14pm On Jul 25,,m,,16 days & 23 hours,444,10
TheGift,https://www.nairaland.com/thegift,,"November 13, 2014",10:37pm On Jul 25,,,,17 days & 9 hours,2075,0
Lexkenny99,https://www.nairaland.com/lexkenny99,Ifite Anambra ,"February 23, 2022",10:28pm On Jul 25,This user dey ment gaaan!!!,m,,3 days & 3 hours,323,12
EfisioBoni,https://www.nairaland.com/efisioboni,,"July 22, 2022",1:53am On Jul 25,,m,,12 minutes & 43 seconds,5,0
Mayanis,https://www.nairaland.com/mayanis,,"March 24, 2022",12:46pm On Jul 25,,,,1 day & 6 hours,8,0
