name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online,no_of_posts,no_of_topics
Anambra1stSon,https://www.nairaland.com/anambra1stson,Anambra,"May 21, 2015",9:35pm On Jul 25,"Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough.",m," @Anambra1st",5 months & 23 days,11285,613
ibechris,https://www.nairaland.com/ibechris,,"January 06, 2019",10:33pm On Jul 25,,m,,2 months & 7 days,2454,9
Willie2015,https://www.nairaland.com/willie2015,,"March 22, 2015",12:35am,,,,8 months & 29 days,1854,0
naija4life247,https://www.nairaland.com/naija4life247,,"May 17, 2020",8:30pm On Jul 25,,,,22 days & 5 hours,5158,13
anonimi,https://www.nairaland.com/anonimi,Igopalam (In God's Presence Always),"March 31, 2008",1:01am,,,,10 months & 27 days,36789,131
able20,https://www.nairaland.com/able20,Rotterdam  Holland,"January 22, 2016",10:26am On Jul 25," NIGERIA SWEET",m,,1 month & 11 days,2524,2
IgweBUIKE1,https://www.nairaland.com/igwebuike1,Lagos ,"October 20, 2015",9:26pm On Jul 25,i have seen papers turn man against his maker,m,,2 months & 14 days,1524,20
Dadadididacontr,https://www.nairaland.com/dadadididacontr,,"January 25, 2021",2:04pm On Jul 25,,,,3 days & 17 hours,30,0
Ororocelemi,https://www.nairaland.com/ororocelemi,,"August 01, 2018",10:49pm On Jul 25,,m,,12 days & 10 hours,159,5
muykem,https://www.nairaland.com/muykem,,"January 27, 2016",1:40am,,,,4 months & 1 day,6291,199
Infomaz,https://www.nairaland.com/infomaz,,"November 20, 2012",10:52pm On Jul 25,The Choice is Yours,m,,2 months & 14 days,236,38
Morphinne,https://www.nairaland.com/morphinne,,"April 15, 2018",9:27pm On Jul 25,If you can't stay sensible stay quite and Bleep off I troll imbeciles ,,,11 days & 8 hours,258,0
Fujiyama,https://www.nairaland.com/fujiyama,,"July 02, 2022",9:02am On Jul 25,,,,1 day & 9 hours,50,0
beeslim,https://www.nairaland.com/beeslim,,"July 14, 2019",8:40pm On Jul 25,,,,1 day,8,0
Parachoko,https://www.nairaland.com/parachoko,Lagos state,"January 04, 2021",9:20pm On Jul 25,Victory is from God alone,m,,1 month & 5 days,4615,118
Ojuntana,https://www.nairaland.com/ojuntana,,"May 13, 2022",11:31pm On Jul 25,,,,10 days & 1 hour,1136,3
VULCAN,https://www.nairaland.com/vulcan,Lagos,"July 16, 2007",3:19pm On Jul 25,,m,,4 months & 26 days,3672,0
Cromagnon,https://www.nairaland.com/cromagnon,,"August 31, 2016",8:12am On Jul 25,,,,13 days & 14 hours,2450,3
Throwback,https://www.nairaland.com/throwback,,"August 21, 2017",12:18am,,,,4 months & 22 days,5546,18
Kingcalls,https://www.nairaland.com/kingcalls,,"March 09, 2021",11:20pm On Jul 25,,,,1 month & 22 days,6626,7
eyeforeye,https://www.nairaland.com/eyeforeye,,"March 18, 2017",10:44pm On Jul 25,Be good to yourself ,m,,21 days & 21 hours,116,5
SOFTSKILL,https://www.nairaland.com/softskill,,"January 06, 2022",7:27pm On Jul 25,,,,17 days & 22 hours,493,0
MICHEALADEX,https://www.nairaland.com/michealadex,Lagos ,"March 28, 2010",1:59pm On Jul 25,,m,,3 months & 13 days,3194,13
FatherOfJesus,https://www.nairaland.com/fatherofjesus,,"July 09, 2020",9:52am On Jul 25,,,,15 days & 22 hours,3015,108
Richy986,https://www.nairaland.com/richy986,,"July 02, 2022",12:40am,,,,1 day & 23 hours,44,1
EMEKAodogwu1,https://www.nairaland.com/emekaodogwu1,,"June 14, 2022",7:43pm On Jul 25,,,,1 day & 22 hours,75,0
Softmirror,https://www.nairaland.com/softmirror,,"June 01, 2022",9:51pm On Jul 25,,,,7 days & 1 hour,775,5
Oracleamehdin,https://www.nairaland.com/oracleamehdin,United kingdom,"December 29, 2021",10:38pm On Jul 25,Grace swallow disgrace,m,,2 days & 2 hours,299,0
walexbiz,https://www.nairaland.com/walexbiz,"Lagos, Itire","October 29, 2009",8:25am On Jul 25,,m,,2 months & 11 days,465,0
NOwazobia,https://www.nairaland.com/nowazobia,Sambisa,"March 06, 2020",5:42pm On Jul 25,"For the courage that men lack, the greed that men embrace, and the godfathers men are enslaved to, I don't believe in the fixing of this cesspit called Nigeria, except for its Division into fractional bits. DIVISION I AM FOR!!!",,,1 month & 13 days,1925,2
millhouse,https://www.nairaland.com/millhouse,,"August 24, 2009",12:58am,,,,6 months & 18 days,5961,42
InvertedHammer,https://www.nairaland.com/invertedhammer,CLOUD,"September 15, 2012",1:37am,,,,3 months & 2 days,13973,8
SugarGirl44,https://www.nairaland.com/sugargirl44,,"January 13, 2022",10:00pm On Jul 25,,,,14 days & 1 hour,1142,1
yahmohy27,https://www.nairaland.com/yahmohy27,,"August 26, 2014",9:15pm On Jul 25,,,,2 months & 2 days,2561,5
Igboslayer,https://www.nairaland.com/igboslayer,,"July 07, 2022",10:29pm On Jul 25,,,,1 day,123,0
baretalk,https://www.nairaland.com/baretalk,,"March 11, 2022",7:41pm On Jul 25,,,,6 days & 22 hours,1194,15
Great0ne1,https://www.nairaland.com/great0ne1,,"January 19, 2022",9:00pm On Jul 25,,,,11 days & 21 hours,722,1
uchelouis45,https://www.nairaland.com/uchelouis45,,"January 11, 2015",1:47am,,m,,2 months & 22 days,376,19
Johnrake69,https://www.nairaland.com/johnrake69,,"September 01, 2014",11:17pm On Jul 25,,,,8 months & 8 days,2082,59
Idaytesj29,https://www.nairaland.com/idaytesj29,,"November 29, 2017",11:41pm On Jul 25,LA Familia Madrigal du Encanto,,,2 months & 1 day,1524,17
Batallion23,https://www.nairaland.com/batallion23,,"June 20, 2022",2:23pm On Jul 25,,,,9 hours & 54 minutes,19,0
almarthins,https://www.nairaland.com/almarthins,,"October 03, 2007",9:57pm On Jul 25,,m,,2 months & 8 days,3628,31
almayda,https://www.nairaland.com/almayda,,"May 18, 2018",10:41pm On Jul 25,,,,1 month & 12 days,328,0
9jatriot,https://www.nairaland.com/9jatriot,,"October 13, 2014",5:16pm On Jul 25,"We can disagree on method, but we should have a common goal to rescuse Nigeria",m,,4 months & 7 days,2998,228
Binancian,https://www.nairaland.com/binancian,,"May 10, 2022",10:23pm On Jul 25,,,,5 days & 23 hours,149,3
grammarian247,https://www.nairaland.com/grammarian247,Ibadan,"May 24, 2019",7:23pm On Jul 25,,m,,24 days & 22 hours,344,29
Great2017,https://www.nairaland.com/great2017,,"December 27, 2016",10:47pm On Jul 25,,,,4 months & 4 days,1368,0
pacespot,https://www.nairaland.com/pacespot,webie,"August 14, 2015",9:52pm On Jul 25,"Grow your business digital, being short on budget is not an excuse",m,@AkinsSpace,3 months & 13 days,7667,4
jclassiq,https://www.nairaland.com/jclassiq,Lagos,"January 28, 2016",9:15pm On Jul 25,God over everything else..,m,,1 month & 25 days,1973,10
OLADUN27,https://www.nairaland.com/oladun27,,"May 29, 2020",10:06pm On Jul 25,,,,2 days & 23 hours,6,0
omoadeleye,https://www.nairaland.com/omoadeleye,,"February 23, 2013",11:52pm On Jul 25,I can help you to get any stuffs on AliExpress to anywhere in Nigeria,m,Omoadeleye,5 months & 10 days,7558,31
Razy75g,https://www.nairaland.com/razy75g,,"March 04, 2020",11:45pm On Jul 25,,,,18 days & 9 hours,348,4
DIVAD2000,https://www.nairaland.com/divad2000,,"August 05, 2021",9:44pm On Jul 25,,,,13 hours & 1 minute,74,0
adiori0303,https://www.nairaland.com/adiori0303,,"June 30, 2022",10:41pm On Jul 25,,,,23 hours & 32 minutes,95,0
stanluiz,https://www.nairaland.com/stanluiz,,"June 19, 2017",12:17am,Stanluiz ride on!!!,m,,8 months & 22 days,4026,0
kanupapilo,https://www.nairaland.com/kanupapilo,,"January 31, 2022",5:40pm On Jul 25,,,,1 day & 6 hours,305,24
onuman,https://www.nairaland.com/onuman,,"December 13, 2020",12:47am,,,,1 month,4822,3
Norwichsailor,https://www.nairaland.com/norwichsailor,,"December 16, 2020",11:59pm On Jul 25,,m,,16 days & 15 hours,521,0
Aidejay,https://www.nairaland.com/aidejay,Abuja ,"July 30, 2017",10:19pm On Jul 25,"225 words is not even enough for what I want to say but since it's all I get here is something for you, yes you! ""Not everyone can become a great artist but a great artist can come from anywhere.""",m,@Cool_,2 months & 8 days,3885,42
mabea,https://www.nairaland.com/mabea,,"February 02, 2016",6:25pm On Jul 25,,,,3 months & 6 days,2556,5
Iniabasinkanta,https://www.nairaland.com/iniabasinkanta,,"May 30, 2021",8:12pm On Jul 25,I'm born to win!   ,m,,16 hours & 51 minutes,81,12
Shascky33,https://www.nairaland.com/shascky33,State of Emergency,"September 22, 2017",8:42pm On Jul 25,Democracy is the fall of Humanity,m,@voodoomental,4 days & 6 hours,280,12
obynzo,https://www.nairaland.com/obynzo,,"June 01, 2010",10:19pm On Jul 25,,,,3 months & 22 days,3708,35
shakdav,https://www.nairaland.com/shakdav,Abuja FCT,"June 27, 2020",10:28pm On Jul 25,"""I believe in the development of nigeria, once you also belive in that we are together in the struggle""",m,,9 days & 17 hours,52,0
BraniacX,https://www.nairaland.com/braniacx,"on ya screen dummy!! nah! sorry, scratch that of.............somewhere out there in the pegasus galaxy, so hi there earthlings ","September 24, 2014",10:46am On Jul 25,primus inter pares,m,ico985,2 months & 17 days,6169,22
Heimdal,https://www.nairaland.com/heimdal,,"July 12, 2022",10:02pm On Jul 25,"No stress yourself. I no go gree, normally.",m,,17 hours & 53 minutes,50,0
Tonnierichy,https://www.nairaland.com/tonnierichy,"Lagos, Nigeria","August 19, 2013",3:20pm On Jul 25,I live for autos,m,Tonnierichy ,1 month & 4 days,1237,23
MasterKernel,https://www.nairaland.com/masterkernel,,"December 14, 2019",6:23pm On Jul 25,,,,17 days & 11 hours,748,4
snoopz,https://www.nairaland.com/snoopz,,"September 22, 2018",4:27pm On Jul 25,,,,1 month & 12 days,1894,0
otunot83,https://www.nairaland.com/otunot83,,"February 14, 2017",3:44pm On Jul 25,,,,12 hours & 35 minutes,5,1
uduokirika1,https://www.nairaland.com/uduokirika1,,"August 15, 2014",10:45pm On Jul 25,,m,,4 months & 27 days,1446,26
Icumsa45,https://www.nairaland.com/icumsa45,Lekki,"December 11, 2020",1:13am,,m,,1 month & 6 days,2083,8
plaindealer,https://www.nairaland.com/plaindealer,,"June 07, 2013",10:43pm On Jul 25,,,,2 months,10031,277
Demurray,https://www.nairaland.com/demurray,,"February 02, 2020",8:54pm On Jul 25,,,,17 days & 23 hours,165,6
lexy2014,https://www.nairaland.com/lexy2014,,"September 09, 2014",11:57pm On Jul 25,,,,8 months & 17 days,38305,8
Superwave16320,https://www.nairaland.com/superwave16320,,"October 11, 2021",10:01pm On Jul 25,,,,4 days & 13 hours,471,11
victorsola,https://www.nairaland.com/victorsola,,"December 18, 2009",11:29pm On Jul 25,,,,4 days & 22 hours,203,0
GeneralPula,https://www.nairaland.com/generalpula,,"May 22, 2019",12:50am,,,,4 months & 18 days,8688,0
Biodun556,https://www.nairaland.com/biodun556,,"April 18, 2013",1:26am,,m,,3 months & 13 days,5521,1354
blueAgent,https://www.nairaland.com/blueagent,,"August 17, 2015",8:30pm On Jul 25,,m,,1 month & 3 days,6938,143
johnjose68,https://www.nairaland.com/johnjose68,,"June 24, 2015",4:51pm On Jul 25,,,,16 days & 7 hours,162,2
9jalyte,https://www.nairaland.com/9jalyte,,"August 08, 2014",10:00pm On Jul 25,,,,1 month & 8 days,236,8
boyfrank,https://www.nairaland.com/boyfrank,,"January 14, 2020",10:46pm On Jul 25,,,,8 days & 10 hours,531,0
