name,profile_link,location,time_registered,last_seen
ghettodreamz,https://www.nairaland.com/ghettodreamz,Eldorado,"July 16, 2012",: 9:06am On Apr 01
Zet72,https://www.nairaland.com/zet72,beside that burial grand,"October 15, 2012",: 10:52pm On Mar 02
HARDDON,https://www.nairaland.com/harddon,,"July 26, 2007",: 9:34pm On Jul 24
scofield33,https://www.nairaland.com/scofield33,lagos,"September 11, 2010",: 9:10pm On Mar 26
nonybrighto,https://www.nairaland.com/nonybrighto,,"January 08, 2013",: 11:56am On Aug 08
oluagness,https://www.nairaland.com/oluagness,Nigeria,"July 27, 2009",: 10:22am On Jun 22
ositadima1,https://www.nairaland.com/ositadima1,,"February 25, 2010",: 3:16pm On Jul 24
solomon201,https://www.nairaland.com/solomon201,Here,"March 02, 2007",: 1:19am On Dec 09
avidwan,https://www.nairaland.com/avidwan,,"January 14, 2013",: 7:37pm On Sep 07
LordRahl001,https://www.nairaland.com/lordrahl001,,"October 03, 2012",: 6:57pm On Jul 24
biz2get,https://www.nairaland.com/biz2get,US,"August 27, 2010",: 9:02pm On Jul 23
bonsoirval,https://www.nairaland.com/bonsoirval,,"August 24, 2012",: 2:06pm On Jul 19
lilyafaten,https://www.nairaland.com/lilyafaten,somewhere around the earth,"November 28, 2011",: 12:07pm On Jul 17
spikesC,https://www.nairaland.com/spikesc,London,"November 30, 2010",: 7:56pm On Apr 26
dulaman,https://www.nairaland.com/dulaman,,"December 04, 2010",: 1:47pm
IdeeEsperanza,https://www.nairaland.com/ideeesperanza,,"January 01, 2013",: 8:02am On Jul 21
adexsimply,https://www.nairaland.com/adexsimply,Winterfell,"December 05, 2008",: 10:50pm On Jul 18
oluwamitomisin,https://www.nairaland.com/oluwamitomisin,,"January 24, 2013",: 7:51am On Jul 24
nep2ra,https://www.nairaland.com/nep2ra,United Kingdom,"December 10, 2009",: 5:40pm On Mar 18
donziko,https://www.nairaland.com/donziko,lokoja City,"November 13, 2012",: 12:49pm On Apr 24
Chiefupper,https://www.nairaland.com/chiefupper,ilorin,"December 02, 2011",: 12:33pm On Jun 03
hpk,https://www.nairaland.com/hpk,Lagos,"May 28, 2007",: 1:59pm
johnemone,https://www.nairaland.com/johnemone,still thinking....... guess am lost,"April 01, 2009",: 9:07pm On Jul 11
sivaramana,https://www.nairaland.com/sivaramana,,"January 31, 2013",: 4:11am On Jan 31
Phaymostip,https://www.nairaland.com/phaymostip,,"August 25, 2012",: 7:15am On Jan 31
wine4dguy,https://www.nairaland.com/wine4dguy,,"January 24, 2009",: 9:19pm On Jun 03
Zikstar4me,https://www.nairaland.com/zikstar4me,lagos,"December 27, 2012",: 12:47pm On Oct 11
stanliwise,https://www.nairaland.com/stanliwise,Naija,"October 15, 2012",: 11:42am
thiisme,https://www.nairaland.com/thiisme,,"January 12, 2013",: 12:49pm On Oct 10
kabayomi,https://www.nairaland.com/kabayomi," ","August 01, 2011",: 1:44pm On Jul 21
ayodinho91,https://www.nairaland.com/ayodinho91,,"November 25, 2011",: 3:47pm On Dec 31
Horpy4,https://www.nairaland.com/horpy4,,"September 01, 2012",: 8:07am On Jul 26
netesy,https://www.nairaland.com/netesy,echo Location,"December 29, 2010",: 12:38am On Jun 17
ebixy,https://www.nairaland.com/ebixy,"8.0000° N, 10.0000° E","October 31, 2009",: 3:04pm
tuyiseun1,https://www.nairaland.com/tuyiseun1,Lagos,"March 24, 2012",: 3:36am On Nov 07
obioraval,https://www.nairaland.com/obioraval,,"April 11, 2012",: 2:00pm
Akeks,https://www.nairaland.com/akeks,,"June 07, 2012",: 4:51am On Nov 06
monkvirus,https://www.nairaland.com/monkvirus,,"June 02, 2011",: 10:01am
felxfame,https://www.nairaland.com/felxfame,Nigeria,"June 09, 2010",: 3:26pm On Apr 06
freshdude,https://www.nairaland.com/freshdude,,"January 10, 2010",: 3:11pm On Jul 24
Vic2much,https://www.nairaland.com/vic2much,,"September 07, 2012",: 12:01am On Apr 25
Rizstar,https://www.nairaland.com/rizstar,,"October 13, 2011",: 3:15am On Aug 30
Brains1313,https://www.nairaland.com/brains1313,,"January 27, 2013",: 8:38pm On Sep 29
hackMob,https://www.nairaland.com/hackmob,,"February 26, 2013",: 4:10pm On Apr 23
AngryProf,https://www.nairaland.com/angryprof,,"February 16, 2013",: 7:29am On Aug 01
follypimpi,https://www.nairaland.com/follypimpi,~B'ham~,"November 19, 2005",: 10:15pm On Feb 27
ijeezlux,https://www.nairaland.com/ijeezlux,delta,"March 01, 2013",: 2:52pm
DaemonDante,https://www.nairaland.com/daemondante,13q14.1-q14.2,"March 02, 2013",: 5:10am On Sep 28
Joezik,https://www.nairaland.com/joezik,Lagos Nigeria,"April 18, 2010",: 2:29pm
zebudaya,https://www.nairaland.com/zebudaya,"Lagos, Nigeria","February 08, 2006",: 1:31am On Aug 27
expertfingers,https://www.nairaland.com/expertfingers,,"September 19, 2012",: 9:46am On Dec 20
samsolite,https://www.nairaland.com/samsolite,,"September 27, 2011",: 3:36pm On Mar 28
javadoctor,https://www.nairaland.com/javadoctor,Lagos,"May 13, 2012",: 10:50pm On Mar 21
coolsamie0,https://www.nairaland.com/coolsamie0,"Agege, Lagos","August 24, 2007",: 11:38am On Jul 22
cmespeak,https://www.nairaland.com/cmespeak,,"March 05, 2010",: 9:09pm On Sep 28
eckman,https://www.nairaland.com/eckman,,"February 24, 2010",: 7:05am On Mar 22
authurowen,https://www.nairaland.com/authurowen,,"August 30, 2011",: 5:33am On Aug 10
Startechng,https://www.nairaland.com/startechng,,"February 28, 2013",: 11:24am On Jun 25
ccrazy,https://www.nairaland.com/ccrazy,,"March 14, 2013",: 4:56pm On Sep 05
halogen02,https://www.nairaland.com/halogen02,,"April 27, 2010",: 10:15pm On Dec 28
Hellustic,https://www.nairaland.com/hellustic,lagos Nigeria,"August 14, 2008",: 12:31pm On Jan 17
redrumz,https://www.nairaland.com/redrumz,,"December 24, 2010",: 9:44pm On May 08
alexandra141,https://www.nairaland.com/alexandra141,,"April 04, 2013",: 4:09pm On Apr 21
Unkl,https://www.nairaland.com/unkl,Nigeria.,"March 22, 2012",: 2:32pm On Oct 19
OmichaelO,https://www.nairaland.com/omichaelo,,"January 15, 2010",: 11:21am
cyrielo,https://www.nairaland.com/cyrielo,Lagos Nigeria,"January 21, 2011",: 1:14pm
funkymeky,https://www.nairaland.com/funkymeky,,"April 15, 2011",: 6:39pm On Jul 24
masagoody,https://www.nairaland.com/masagoody,lasgidi,"December 01, 2012",: 4:59am On Dec 23
Zackmr22,https://www.nairaland.com/zackmr22,,"September 05, 2011",: 4:49pm On Apr 12
Ayohbk,https://www.nairaland.com/ayohbk,right nxt 2 u,"November 06, 2012",: 12:52pm
DharkPoet,https://www.nairaland.com/dharkpoet,,"January 23, 2013",: 12:58am On Apr 10
Feraz,https://www.nairaland.com/feraz,In an alternate world as an evil Scientist. . . . .,"July 14, 2009",: 10:54am On Nov 27
youngmoneyeze,https://www.nairaland.com/youngmoneyeze,,"April 24, 2013",: 3:43pm On Apr 03
loyaltyforever,https://www.nairaland.com/loyaltyforever,,"April 29, 2013",: 8:34am On Oct 15
kobikwelu,https://www.nairaland.com/kobikwelu,Rural Missouri,"March 17, 2008",: 5:52pm On Dec 28
ojtoluene,https://www.nairaland.com/ojtoluene,,"May 06, 2013",: 1:16am On Aug 01
TalkIsCheap,https://www.nairaland.com/talkischeap,,"April 10, 2013",: 4:22pm On Dec 08
bigdot1759,https://www.nairaland.com/bigdot1759,ibadan,"April 09, 2013",: 12:39am
twicenoni,https://www.nairaland.com/twicenoni,lagos,"September 03, 2012",: 12:02pm On Jul 24
Crisnite,https://www.nairaland.com/crisnite,"Lagos, Nigeria.","May 11, 2013",: 12:04pm On Oct 31
tkcent4great,https://www.nairaland.com/tkcent4great,,"November 16, 2012",: 11:04am On Dec 16
kambo,https://www.nairaland.com/kambo,abuja,"June 01, 2006",: 1:21pm On Jan 19
malign,https://www.nairaland.com/malign,,"April 03, 2013",: 9:44am On Oct 08
Nik08,https://www.nairaland.com/nik08,,"February 22, 2008",: 9:44am On Jan 09
ymiller4real,https://www.nairaland.com/ymiller4real,,"April 13, 2013",: 8:36am On Sep 10
NonFarmPayrol,https://www.nairaland.com/nonfarmpayrol,,"September 11, 2012",: 9:17am On Jul 22
mimikemyght,https://www.nairaland.com/mimikemyght,,"May 30, 2013",: 9:51pm On May 19
princeelder,https://www.nairaland.com/princeelder,,"August 07, 2012",: 11:49pm On Jul 25
pisolution,https://www.nairaland.com/pisolution,Nigeria,"April 04, 2013",: 2:18pm On Jul 10
nerdicusprimus,https://www.nairaland.com/nerdicusprimus,,"June 03, 2013",: 12:01pm On Jul 12
sealteam66,https://www.nairaland.com/sealteam66,Lagos,"May 23, 2013",: 11:36pm On Mar 04
Princessmel,https://www.nairaland.com/princessmel,,"May 07, 2013",: 1:37am
Manus17,https://www.nairaland.com/manus17,Lagos,"August 23, 2012",: 11:20pm On Jul 24
gentlelexis,https://www.nairaland.com/gentlelexis,,"January 24, 2010",: 5:25pm On May 12
kudaisi,https://www.nairaland.com/kudaisi,"Lagos, Nigeria","March 12, 2008",: 7:11am On Dec 18
GrAnDwEeZ,https://www.nairaland.com/grandweez,lagos,"June 04, 2013",: 11:21pm On Jul 24
Alpet,https://www.nairaland.com/alpet,Ilorin.,"June 28, 2011",: 3:53pm On Jul 10
ibiamu2002,https://www.nairaland.com/ibiamu2002,,"June 27, 2013",: 11:40am On Aug 03
brushesz,https://www.nairaland.com/brushesz,Cloud,"June 28, 2013",: 3:02pm
Infamous,https://www.nairaland.com/infamous,,"August 08, 2009",: 3:05pm
d333,https://www.nairaland.com/d333,,"June 04, 2013",: 8:42pm On Aug 12
alicialenoire,https://www.nairaland.com/alicialenoire,,"June 29, 2013",: 11:23am On Jul 05
Ajibel,https://www.nairaland.com/ajibel,In the belly of a Python,"April 24, 2009",: 7:31pm On Jul 24
04kaa,https://www.nairaland.com/04kaa,MUMBAI INDIA,"June 25, 2010",: 6:55pm On Jul 21
obanlaIsaiah,https://www.nairaland.com/obanlaisaiah,"77, Ewupe road sango ota","June 07, 2013",: 6:31pm On Aug 26
onozor,https://www.nairaland.com/onozor,,"July 01, 2013",: 10:15am On Oct 27
aaron6190,https://www.nairaland.com/aaron6190,,"July 04, 2013",: 12:33pm On Nov 03
Happytina,https://www.nairaland.com/happytina,Enugu,"May 07, 2012",: 10:41pm On Aug 19
Nyumba,https://www.nairaland.com/nyumba,,"July 07, 2013",: 12:41pm On May 21
Hennyola,https://www.nairaland.com/hennyola,very close ,"June 25, 2013",: 5:04pm On Jul 24
richoko60,https://www.nairaland.com/richoko60,Lagos,"August 04, 2010",: 6:14pm On Oct 15
GoodBoi1,https://www.nairaland.com/goodboi1,,"November 13, 2010",: 3:36pm
Pins,https://www.nairaland.com/pins,Delta,"May 25, 2012",: 7:21pm On Jan 16
Dhortunn,https://www.nairaland.com/dhortunn,Global,"May 23, 2013",: 8:15am On Mar 22
OCTAVO,https://www.nairaland.com/octavo,,"September 01, 2012",: 5:43pm On Jul 24
Andacyn,https://www.nairaland.com/andacyn,,"June 30, 2012",: 12:19pm On Jun 30
kennbox,https://www.nairaland.com/kennbox,Nigeria,"October 30, 2006",: 9:38pm On Jul 24
babakk2,https://www.nairaland.com/babakk2,,"July 06, 2013",: 6:05pm On Jun 29
roadsta,https://www.nairaland.com/roadsta,,"June 04, 2010",: 2:17pm On Jul 24
adrainuche,https://www.nairaland.com/adrainuche,Kuala Lumpur Malaysia,"June 20, 2013",: 10:00pm On Jun 13
judy56,https://www.nairaland.com/judy56,,"July 15, 2013",: 5:03am On Jul 29
dibazz,https://www.nairaland.com/dibazz,,"July 30, 2013",: 11:28am On Oct 30
blink6,https://www.nairaland.com/blink6,MARS,"October 24, 2012",: 8:10pm On Dec 09
lifestyle1,https://www.nairaland.com/lifestyle1,"Lagos, Nigeria","February 07, 2006",: 9:38am
ephbe,https://www.nairaland.com/ephbe,,"July 26, 2013",: 6:40am
cannonnier,https://www.nairaland.com/cannonnier,Sambisa city.,"September 26, 2011",: 11:05am On Jul 16
Knownpal,https://www.nairaland.com/knownpal,Planet Earth!,"March 30, 2013",: 9:31pm On Jul 23
joshuaopu,https://www.nairaland.com/joshuaopu,,"September 16, 2012",: 9:43pm On Jun 12
Davo93,https://www.nairaland.com/davo93,,"September 14, 2011",: 4:17am On Apr 30
Djtm,https://www.nairaland.com/djtm,Nigeria,"October 25, 2010",: 1:00pm On Jul 16
greatcruz,https://www.nairaland.com/greatcruz,Nigeria,"April 04, 2012",: 11:13am On Jan 03
akingenge,https://www.nairaland.com/akingenge,,"August 24, 2013",: 10:57am On Dec 31
ibietela2,https://www.nairaland.com/ibietela2,Port Harcourt,"November 30, 2011",: 7:27pm On Jul 04
syllang,https://www.nairaland.com/syllang,,"August 27, 2012",: 3:04am On Jul 22
kennikazi,https://www.nairaland.com/kennikazi,Enugu,"February 19, 2013",: 8:30pm On May 31
olupentane,https://www.nairaland.com/olupentane,Ibadan,"July 27, 2011",: 3:01pm On Apr 06
Tos87,https://www.nairaland.com/tos87,behind you,"May 19, 2009",: 3:35pm
Damitism,https://www.nairaland.com/damitism,,"June 19, 2011",: 4:30pm On Jun 19
fidinwala,https://www.nairaland.com/fidinwala,,"February 21, 2011",: 4:11pm On Aug 15
Obidikejr,https://www.nairaland.com/obidikejr,Abuja,"June 03, 2013",: 4:48am On Jul 04
temitopecoal,https://www.nairaland.com/temitopecoal,,"March 31, 2013",: 6:44pm On Sep 01
ifyeky,https://www.nairaland.com/ifyeky,Uyo ,"October 30, 2012",: 3:13pm On Jun 27
Valon4ego,https://www.nairaland.com/valon4ego," I am where I am ","July 15, 2009",: 1:52pm On Jan 28
dannie04,https://www.nairaland.com/dannie04,,"June 13, 2008",: 1:53am On May 14
humnsikan,https://www.nairaland.com/humnsikan,,"November 19, 2012",: 9:04am On Jul 22
APO,https://www.nairaland.com/apo,lagos,"February 04, 2006",: 12:58pm On Apr 29
doziej84,https://www.nairaland.com/doziej84,,"February 23, 2009",: 5:26pm On Mar 18
dsypha,https://www.nairaland.com/dsypha,,"July 09, 2013",: 3:24pm On Sep 27
vinkela,https://www.nairaland.com/vinkela,,"August 17, 2011",: 10:43am On Jan 04
thenabster,https://www.nairaland.com/thenabster,,"December 05, 2010",: 3:40pm On Jan 20
dokunbam,https://www.nairaland.com/dokunbam,"lagos, Nigeria","May 14, 2011",: 6:28pm On Jun 11
marlockj,https://www.nairaland.com/marlockj,,"April 17, 2012",: 8:44am On Jul 01
BroJ,https://www.nairaland.com/broj,,"October 01, 2013",: 8:45am On Feb 09
just1k,https://www.nairaland.com/just1k,,"October 02, 2013",: 10:50am On Oct 17
sussyangel,https://www.nairaland.com/sussyangel,,"January 08, 2013",: 2:13pm On Sep 19
blado,https://www.nairaland.com/blado,,"August 28, 2007",: 8:53am On Oct 28
5hyguy,https://www.nairaland.com/5hyguy,,"November 01, 2013",: 5:22am On May 26
Bulldog,https://www.nairaland.com/bulldog,south east nigeria,"October 19, 2006",: 9:53pm On Jun 09
Dolapo93,https://www.nairaland.com/dolapo93,Owerri,"December 27, 2011",: 9:48pm On Nov 14
codeaddict,https://www.nairaland.com/codeaddict,C:/Windows/System32/killprotection.dll,"January 10, 2012",: 2:47pm On Mar 30
valenstical,https://www.nairaland.com/valenstical,,"November 05, 2013",: 9:54pm On Mar 19
crystallhills,https://www.nairaland.com/crystallhills,,"November 06, 2013",: 6:01pm On Dec 09
jacobson26,https://www.nairaland.com/jacobson26,,"November 12, 2013",: 12:55pm On Nov 12
OmolodMilkman93,https://www.nairaland.com/omolodmilkman93,Konohagakure / PH city ,"April 28, 2010",: 11:56pm On Jul 07
BluePearls,https://www.nairaland.com/bluepearls,Lagos,"December 15, 2007",: 7:03pm On Aug 14
Olamyyde,https://www.nairaland.com/olamyyde,lagos,"April 08, 2012",: 11:09pm On Jul 24
wisemania,https://www.nairaland.com/wisemania,Lag,"August 20, 2012",: 12:29am On Jul 04
Rockyfancino,https://www.nairaland.com/rockyfancino,,"February 22, 2013",: 10:53am
mackkjackk11,https://www.nairaland.com/mackkjackk11,,"December 04, 2013",: 8:28am On Dec 06
tomakint,https://www.nairaland.com/tomakint,Nigeria,"April 06, 2012",: 9:50am On Jun 29
SwordOfOrion,https://www.nairaland.com/swordoforion,Bauchi.,"September 01, 2013",: 10:56am On Jul 10
ajibowo11,https://www.nairaland.com/ajibowo11,,"August 14, 2013",: 3:18pm On Jul 16
islamiyatt,https://www.nairaland.com/islamiyatt,,"December 24, 2013",: 4:54pm On Aug 18
techwizard,https://www.nairaland.com/techwizard,,"April 04, 2013",: 7:51pm On Aug 03
BlueMagnificent,https://www.nairaland.com/bluemagnificent,,"October 29, 2013",: 11:24pm On Jun 28
m003,https://www.nairaland.com/m003,searching.........,"June 11, 2013",: 11:07am On Jul 17
guente02,https://www.nairaland.com/guente02,Giding Up,"November 02, 2009",: 3:57am On Jul 24
Donkunxex,https://www.nairaland.com/donkunxex,Optinunu( the land of the unknown),"April 28, 2013",: 7:02am
hobyner,https://www.nairaland.com/hobyner,Nigeria,"February 17, 2012",: 7:19pm On Jul 14
sammyoddy007,https://www.nairaland.com/sammyoddy007,,"January 07, 2014",: 5:55am On Jan 09
cmonek,https://www.nairaland.com/cmonek,Nil,"June 17, 2011",: 11:29am On Jul 22
luvlyoracle,https://www.nairaland.com/luvlyoracle,,"September 30, 2013",: 3:29pm
Paddyluv,https://www.nairaland.com/paddyluv,,"August 26, 2007",: 9:14am On Nov 25
neggie,https://www.nairaland.com/neggie,,"June 17, 2009",: 8:39pm On Jun 03
Karleb,https://www.nairaland.com/karleb,"Ikare Akoko, Ondo State. ","October 26, 2012",: 3:31pm
blueyedgeek,https://www.nairaland.com/blueyedgeek,,"June 27, 2014",: 10:04am On Mar 08
fattbabakay,https://www.nairaland.com/fattbabakay,Nigeria,"November 04, 2013",: 10:24am On Jul 14
neymarjr,https://www.nairaland.com/neymarjr,,"June 29, 2014",: 12:02pm On Sep 23
oluwaslim,https://www.nairaland.com/oluwaslim,,"August 02, 2012",: 5:15pm On Oct 05
selective,https://www.nairaland.com/selective,,"July 11, 2014",: 7:31am On Sep 02
Folarinibrahim1,https://www.nairaland.com/folarinibrahim1,Somewhere in Africa,"April 03, 2010",: 12:20pm On Jul 23
Intellab,https://www.nairaland.com/intellab,NG,"January 23, 2012",: 9:35am On Jul 24
Husyn,https://www.nairaland.com/husyn,,"June 22, 2011",: 9:55pm On Mar 23
Nastydroid,https://www.nairaland.com/nastydroid,Lagos,"March 17, 2013",: 2:22pm
Crazielips,https://www.nairaland.com/crazielips,,"July 18, 2014",: 1:16pm On Jul 18
efeambrose,https://www.nairaland.com/efeambrose,,"July 14, 2014",: 10:42pm On Jun 06
youngestpr,https://www.nairaland.com/youngestpr,Ibadan,"January 26, 2010",: 9:02am On Jun 28
udswagz,https://www.nairaland.com/udswagz,,"March 22, 2012",: 6:57am On Oct 03
Nhamoyedu,https://www.nairaland.com/nhamoyedu,,"July 25, 2014",: 4:27am On Dec 13
PatEinstEin,https://www.nairaland.com/pateinstein,Lagos,"July 15, 2013",: 8:38pm On Jul 22
realsnypper,https://www.nairaland.com/realsnypper,,"June 20, 2013",: 5:49pm On Jul 10
sharperdly,https://www.nairaland.com/sharperdly,,"August 16, 2013",: 7:35pm On Jun 03
purplekayc,https://www.nairaland.com/purplekayc,"Lagos ,Nigeria","January 10, 2009",: 3:23pm
vowolabi,https://www.nairaland.com/vowolabi,,"November 13, 2013",: 4:46pm On Mar 02
Joshuadon,https://www.nairaland.com/joshuadon,"check ur compass,u might be right....☺☺☺☺☺☺☺☺  ","June 21, 2013",: 7:13am On Jul 23
Daraplato,https://www.nairaland.com/daraplato,Ibadan,"December 12, 2011",: 7:53pm On Jul 24
muhiza,https://www.nairaland.com/muhiza,,"July 06, 2014",: 10:20am On Nov 20
mkvirus,https://www.nairaland.com/mkvirus,,"September 14, 2013",: 6:47pm On Mar 19
Akinsnaira,https://www.nairaland.com/akinsnaira,,"July 06, 2013",: 10:49am On Sep 12
blueflames00,https://www.nairaland.com/blueflames00,,"August 14, 2014",: 2:43am On Mar 06
DiscodeeFUTA,https://www.nairaland.com/discodeefuta,lasgidi,"August 25, 2013",: 10:33am On Jan 08
TinyHacker,https://www.nairaland.com/tinyhacker,,"August 17, 2014",: 7:12am On Oct 11
Leward,https://www.nairaland.com/leward,ogun state,"July 15, 2013",: 12:18pm On Mar 05
aramics,https://www.nairaland.com/aramics,,"February 26, 2013",: 9:28pm On Sep 26
UcGadaz,https://www.nairaland.com/ucgadaz,,"May 05, 2013",: 3:37pm On Nov 26
Chiranjibi,https://www.nairaland.com/chiranjibi,,"September 04, 2014",: 7:35pm On Sep 04
kriru,https://www.nairaland.com/kriru,,"September 10, 2014",: 1:10pm On Sep 10
LihaciFlorin,https://www.nairaland.com/lihaciflorin,,"September 10, 2014",: 6:38pm On Sep 10
amitkumar12345,https://www.nairaland.com/amitkumar12345,,"September 11, 2014",: 6:24am On Sep 11
mza55,https://www.nairaland.com/mza55,,"September 11, 2014",: 11:24am On Sep 11
tahyoh24,https://www.nairaland.com/tahyoh24,,"September 14, 2014",: 9:23am On Oct 29
paranorman,https://www.nairaland.com/paranorman,Pluto ,"October 10, 2012",: 1:08pm
kobonaire,https://www.nairaland.com/kobonaire,"6.453135, 3.395829","June 20, 2013",: 8:50pm On Nov 25
ruz080,https://www.nairaland.com/ruz080,,"September 18, 2014",: 7:43pm On Sep 21
tojuboy,https://www.nairaland.com/tojuboy,,"September 19, 2014",: 9:23am On Mar 12
xkunzo,https://www.nairaland.com/xkunzo,,"August 13, 2009",: 4:35pm On Jul 14
brainiest,https://www.nairaland.com/brainiest,,"December 31, 2013",: 9:06pm On Jan 31
bidemi2012,https://www.nairaland.com/bidemi2012,,"September 22, 2014",: 7:22pm On Sep 30
McKenzi,https://www.nairaland.com/mckenzi,lagos,"September 03, 2011",: 11:35am On Apr 28
emonipoint,https://www.nairaland.com/emonipoint,,"June 10, 2008",: 11:10am On Jul 20
oseiwe,https://www.nairaland.com/oseiwe,City by the Sea,"April 04, 2009",: 3:38pm
Adaeze003,https://www.nairaland.com/adaeze003,Nigeria,"November 17, 2011",: 11:26pm On Jun 02
INeedHelpAsap,https://www.nairaland.com/ineedhelpasap,,"October 20, 2014",: 10:30am On Dec 05
rawbaba,https://www.nairaland.com/rawbaba,,"September 24, 2014",: 2:34pm On Apr 10
Skykid1208,https://www.nairaland.com/skykid1208,NAIRAland,"August 01, 2013",: 5:51pm On May 15
ballyjzworld,https://www.nairaland.com/ballyjzworld,,"November 02, 2014",: 7:54am On Mar 18
drysjasperfx,https://www.nairaland.com/drysjasperfx,,"November 19, 2014",: 10:50am On Sep 09
OluwaseunBanjo,https://www.nairaland.com/oluwaseunbanjo,,"August 01, 2014",: 3:14pm On Mar 16
umaryusuf,https://www.nairaland.com/umaryusuf,Abuja || Nasarawa,"May 11, 2011",: 2:01pm On Apr 12
MargzDungalo,https://www.nairaland.com/margzdungalo,"Portland, Oregon","November 26, 2014",: 11:55am On Nov 27
pioneer195,https://www.nairaland.com/pioneer195,"Owerri, Imo state","August 26, 2014",: 9:54pm On Jan 07
Anybodie,https://www.nairaland.com/anybodie,,"December 08, 2014",: 3:11pm
