name,profile_link,location,time_registered,last_seen
Javanian,https://www.nairaland.com/javanian,"Dallas, Texas","April 09, 2012",: 1:09am On Feb 28
clementcro,https://www.nairaland.com/clementcro,,"March 12, 2009",: 8:21pm On Jul 17
pjosh1,https://www.nairaland.com/pjosh1,Abuja,"September 23, 2012",: 2:47pm On Jul 23
PrinceNN,https://www.nairaland.com/princenn,,"May 30, 2012",: 9:40pm On Jan 17
ibnquasale,https://www.nairaland.com/ibnquasale,,"September 11, 2007",: 2:52pm
xterra2,https://www.nairaland.com/xterra2,Nigeria,"February 01, 2009",: 2:54pm
talk2hb1,https://www.nairaland.com/talk2hb1,http://tools.sms2profit.com/,"July 24, 2007",: 3:12pm
lordZOUGA,https://www.nairaland.com/lordzouga,Nigeria,"July 24, 2011",: 1:06am On Jul 23
ciphoenix,https://www.nairaland.com/ciphoenix,13q14.1-q14.2,"September 11, 2012",: 11:37pm On Oct 02
madelinekim,https://www.nairaland.com/madelinekim,,"December 21, 2012",: 12:31pm On Jun 04
WhiZTiM,https://www.nairaland.com/whiztim,somewhere,"January 21, 2012",: 7:52am
dpuzo,https://www.nairaland.com/dpuzo,PH city ,"July 04, 2011",: 6:34pm On Nov 05
kachionubogu,https://www.nairaland.com/kachionubogu,,"December 31, 2012",: 11:22am On Jan 16
Afam4eva,https://www.nairaland.com/afam4eva,,"June 06, 2006",: 11:41am On Jul 24
mubitechnology,https://www.nairaland.com/mubitechnology,,"January 01, 2013",: 9:09am On Apr 24
Omogbhollahorn,https://www.nairaland.com/omogbhollahorn,Lasgidi state of mind,"January 05, 2010",: 1:32pm
DAvIt0,https://www.nairaland.com/davit0,Champagne Clouds,"October 14, 2011",: 11:31am On Jun 24
mj,https://www.nairaland.com/mj,"Lagos, Nigeria.","February 28, 2006",: 12:13am On May 19
NEROSKY,https://www.nairaland.com/nerosky,Nigeria,"December 29, 2011",: 10:13am
Maxkdave,https://www.nairaland.com/maxkdave,C:/sys/bin/apps/maxkdave,"October 18, 2011",: 10:12am On Jun 14
dont8,https://www.nairaland.com/dont8,"Lagos, Nigeria","February 20, 2008",: 11:52am
Urine,https://www.nairaland.com/urine,,"March 31, 2010",: 11:10am On Aug 28
fe32,https://www.nairaland.com/fe32,,"August 13, 2008",: 10:38am On Dec 12
manny4life,https://www.nairaland.com/manny4life,Washington DC,"December 03, 2008",: 9:20pm On Mar 14
confusion247,https://www.nairaland.com/confusion247,Next door in your neighborhood,"August 23, 2012",: 10:27am On May 15
ayurdavid,https://www.nairaland.com/ayurdavid,,"January 29, 2008",: 12:40pm On Jun 05
plote,https://www.nairaland.com/plote,,"September 10, 2010",: 9:59pm On Sep 29
WebSolutnX,https://www.nairaland.com/websolutnx,Nigeria,"April 28, 2010",: 10:52pm On Oct 09
wascolee,https://www.nairaland.com/wascolee,,"November 06, 2012",: 5:47pm On Feb 27
sdbaba,https://www.nairaland.com/sdbaba,,"September 09, 2008",: 3:13am
adewasco2k,https://www.nairaland.com/adewasco2k,"Abuja, Nigeria","October 30, 2007",: 4:07am On Jul 18
double08,https://www.nairaland.com/double08,world wide web ,"July 01, 2010",: 4:45pm On Jul 10
hemor,https://www.nairaland.com/hemor,,"October 13, 2012",: 3:17am On Jan 31
Mayowura,https://www.nairaland.com/mayowura,abuja,"August 09, 2011",: 9:04am On Dec 11
eyenCalabar,https://www.nairaland.com/eyencalabar,,"March 29, 2012",: 10:14am On Jul 12
drvirus1,https://www.nairaland.com/drvirus1,Brazil,"November 18, 2008",: 6:47pm On Jun 25
secreyor,https://www.nairaland.com/secreyor,,"December 05, 2008",: 12:43am On Jan 26
hopefullman,https://www.nairaland.com/hopefullman,,"December 12, 2012",: 10:20am On Dec 30
Paulipopor,https://www.nairaland.com/paulipopor,,"August 11, 2012",: 11:51pm On Mar 11
Nsonaso,https://www.nairaland.com/nsonaso,Nigeria,"May 28, 2009",: 3:34pm
Lildav,https://www.nairaland.com/lildav,,"September 01, 2009",: 1:09pm On Jan 16
Stundey,https://www.nairaland.com/stundey,Ibadan,"December 21, 2012",: 1:12pm
lat4real,https://www.nairaland.com/lat4real,,"October 24, 2011",: 5:15pm On May 03
eniseyin,https://www.nairaland.com/eniseyin,Abk,"May 16, 2010",: 9:33pm On Aug 10
lancey,https://www.nairaland.com/lancey,right there beside you,"September 14, 2012",: 6:23pm On Jun 11
krap,https://www.nairaland.com/krap,"6° 27′ 11″ N, 3° 23′ 45″ E","January 05, 2007",: 8:56pm On Dec 18
